band,sex,primary_dose,secondary_dose,year,population,quantity7,eyetot7,quantity14,eyetot14,quantity21,eyetot21,quantity28,eyetot28,quantity35,eyetot35,dppi40,quantity40,eyetot40,dppi41,quantity41,eyetot41,quantity46,eyetot46,quantity49,eyetot49,quantity56,eyetot56,quantity63,eyetot63,prim_maxeye,prim_maxload,prim_resist,prim_resist10,prim_toleye,prim_inf,presid_old,sec_maxeye,sec_maxload,sec_resist,sec_resist10,sec_toleye,sec_inf,sresid_old
2275,f,0,100,2021,va,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
2282,f,750,100,2021,va,58107.66973,0.5,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0.585088368,0,0,0,0,0,0,0,0.5,58107.66973,58107.66973,4.764240933,0.5,1,0.280062393,0,0.585088368,0,0,0,0,NA
2321,f,750,100,2021,va,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
2372,m,0,30,2021,va,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0.374308355,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.374308355,0.374308355,0.138084187,0,0,NA
2374,f,0,300,2021,va,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
2375,f,750,7000,2021,va,7894.669015,0,NA,3,NA,3.5,NA,0,NA,0,NA,NA,NA,41,21.97608617,0,NA,NA,NA,NA,NA,NA,NA,NA,3.5,7894.669015,7894.669015,3.897388934,3,1,-0.246005367,NA,NA,NA,NA,NA,NA,NA
2377,f,750,100,2021,va,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
2378,m,750,0,2021,va,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
2380,m,0,30,2021,va,2.893600461,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,0,0,0,2.893600461,2.893600461,0.590351385,0,0,NA,0,0,0,0,0,0,NA
2381,m,750,7000,2021,va,0.660508328,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,74052.54329,1,107.3339343,0.5,570.3595162,0,0,0.660508328,0.660508328,0.220241058,0,0,NA,1,74052.54329,74052.54329,4.869545843,1,1,0.259218666
2389,m,750,100,2021,va,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
2390,f,750,300,2021,va,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,1.369903072,0,0,0,0,0,0,0,0,0,NA,0,1.369903072,0,0,0,0,NA
2391,f,750,7000,2021,va,14956.27681,0,NA,1,NA,0,NA,0,NA,0,NA,NA,NA,41,25.88490148,0,NA,NA,NA,NA,NA,NA,NA,NA,1,14956.27681,14956.27681,4.174852531,1,1,0.119921438,NA,NA,NA,NA,NA,NA,NA
2392,f,0,7000,2021,va,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,124316.9373,0.5,52696.54749,2,54.7042415,1.5,0,0,0,0,0,0,0,0,NA,2,124316.9373,52696.54749,4.721790404,2,1,0.073884884
