"band","sex","primary_dose","secondary_dose","population","dppi46","quantity46","eyetot46","dppi49","quantity49","eyetot49","dppi56","quantity56","eyetot56","dppi63","quantity63","eyetot63","sec_maxeye","sec_maxload","year.x","sec_resist","sec_resist10","sec_toleye","sec_inf","sresid","dppi7","quantity7","eyetot7","dppi14","quantity14","eyetot14","dppi21","quantity21","eyetot21","dppi28","quantity28","eyetot28","dppi35","quantity35","eyetot35","dppi40","quantity40","eyetot40","dppi41","quantity41","eyetot41","year.y","prim_maxeye","prim_maxload","prim_resist","prim_resist10","prim_toleye","prim_inf","presid"
2426,"f","750","30","va",46,NA,0,49,0,0,56,0.766412527,0,63,2.357789478,0,0,2.357789478,"2021",0,0,0,0,NA,7,556.2405644,0,14,NA,0.5,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,3.041555949,0,"2021",0.5,556.2405644,556.2405644,2.74604272342647,0.5,1,0.0629840411725278
2427,"m","750","300","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,12582.5023,1.5,14,NA,0.5,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0.657908661,0,"2021",1.5,12582.5023,12582.5023,4.09980153283216,1.5,1,0.0275286241585808
2429,"f","0","30","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2433,"m","750","30","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,187.4335907,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,187.4335907,187.4335907,2.27515832390964,0,1,0.114609941904255
2439,"m","0","100","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0.84049428,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0.84049428,0.84049428,0.264934472057993,0,0,NA
2442,"f","750","30","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,1474.2996,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,1474.2996,1474.2996,3.1688802246628,0,1,0.180685253477465
2447,"m","750","7000","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,8448.823613,0.5,14,NA,1,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,1.733648328,0,"2021",1,8448.823613,8448.823613,3.92684764330469,1,1,0.0906698889490447
2450,"m","0","100","va",46,0,0,49,539.2610754,0,56,29450.33206,1,63,23.75618171,1,1,29450.33206,"2021",539.2610754,2.73260367872196,1,1,0.0296215924114869,7,0,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2453,"m","750","7000","va",46,0,0,49,0,1.5,56,0,0.5,63,0,0.5,1.5,0,"2021",0,0,1.5,1,-0.194293411094384,7,7470.952192,0,14,NA,1.5,21,NA,0.5,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",1.5,7470.952192,7470.952192,3.87343408447244,1.5,1,0.00129827973771923
2454,"m","750","100","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,83.35593344,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,9.3311631,0,"2021",0,83.35593344,83.35593344,1.92611563546839,0,1,0.0951278821721776
